item_id,lane,task,leg,component,row_id,frame_index,screenshot,is_last,png_exists,gold_in_line_text,png_path
P3H-S1-0036,flash,counterfactual-f013,G1,gringotts_savings,flash/counterfactual-f013/G1/gringotts_savings,67,step_67_20260908@161928787981.png,1,1,0,hpc_import/flash/counterfactual-f013/G1/step_67_20260908@161928787981.png
P3H-S1-0035,flash,retrieval-f009,G1,nyc_flight_confirmation,flash/retrieval-f009/G1/nyc_flight_confirmation,31,step_31_20260911@105547556617.png,0,1,1,hpc_import/flash/retrieval-f009/G1/step_31_20260911@105547556617.png
P3H-S1-0024,flash,retrieval-f009,G1,nyc_flight_confirmation,flash/retrieval-f009/G1/nyc_flight_confirmation,32,step_32_20260911@105608077266.png,0,1,1,hpc_import/flash/retrieval-f009/G1/step_32_20260911@105608077266.png
P3H-S1-0034,flash,retrieval-f009,G1,nyc_flight_confirmation,flash/retrieval-f009/G1/nyc_flight_confirmation,40,step_40_20260911@105845632747.png,1,1,1,hpc_import/flash/retrieval-f009/G1/step_40_20260911@105845632747.png
P3H-S1-0029,flash,retrieval-f010,G1,host_name,flash/retrieval-f010/G1/host_name,12,step_13_20260908@130514081703.png,0,1,1,hpc_import/flash/retrieval-f010/G1/step_13_20260908@130514081703.png
P3H-S1-0001,flash,retrieval-f010,G1,host_name,flash/retrieval-f010/G1/host_name,13,step_13_20260908@130518754743.png,0,1,1,hpc_import/flash/retrieval-f010/G1/step_13_20260908@130518754743.png
P3H-S1-0018,flash,retrieval-f010,G1,host_name,flash/retrieval-f010/G1/host_name,22,step_22_20260908@130700429579.png,1,1,1,hpc_import/flash/retrieval-f010/G1/step_22_20260908@130700429579.png
P3H-S1-0014,gpt,aggregation-f020,G0,batbucks_cash,gpt/aggregation-f020/G0/batbucks_cash,52,step_48_20260907@211535393518.png,0,1,0,hpc_import/gpt/aggregation-f020/G0/step_48_20260907@211535393518.png
P3H-S1-0008,gpt,aggregation-f020,G0,batbucks_cash,gpt/aggregation-f020/G0/batbucks_cash,53,step_49_20260907@211548754953.png,0,1,0,hpc_import/gpt/aggregation-f020/G0/step_49_20260907@211548754953.png
P3H-S1-0015,gpt,aggregation-f020,G0,batbucks_cash,gpt/aggregation-f020/G0/batbucks_cash,54,step_50_20260907@211604628474.png,1,1,1,hpc_import/gpt/aggregation-f020/G0/step_50_20260907@211604628474.png
P3H-S1-0010,gpt,retrieval-f009,G0,nyc_hotel_confirmation,gpt/retrieval-f009/G0/nyc_hotel_confirmation,0,step_1_20260908@094640549303.png,0,1,0,hpc_import/gpt/retrieval-f009/G0/step_1_20260908@094640549303.png
P3H-S1-0019,gpt,retrieval-f009,G0,nyc_hotel_confirmation,gpt/retrieval-f009/G0/nyc_hotel_confirmation,1,step_2_20260908@094650367873.png,0,1,0,hpc_import/gpt/retrieval-f009/G0/step_2_20260908@094650367873.png
P3H-S1-0009,gpt,retrieval-f009,G0,nyc_hotel_confirmation,gpt/retrieval-f009/G0/nyc_hotel_confirmation,2,step_3_20260908@094713125281.png,1,1,1,hpc_import/gpt/retrieval-f009/G0/step_3_20260908@094713125281.png
P3H-S1-0011,gpt,retrieval-f009,G1,nyc_flight_confirmation,gpt/retrieval-f009/G1/nyc_flight_confirmation,3,step_1_20260908@095936204388.png,0,1,0,hpc_import/gpt/retrieval-f009/G1/step_1_20260908@095936204388.png
P3H-S1-0030,gpt,retrieval-f009,G1,nyc_flight_confirmation,gpt/retrieval-f009/G1/nyc_flight_confirmation,4,step_2_20260908@095945159491.png,0,1,0,hpc_import/gpt/retrieval-f009/G1/step_2_20260908@095945159491.png
P3H-S1-0028,gpt,retrieval-f009,G1,nyc_flight_confirmation,gpt/retrieval-f009/G1/nyc_flight_confirmation,5,step_3_20260908@095953159575.png,1,1,1,hpc_import/gpt/retrieval-f009/G1/step_3_20260908@095953159575.png
