id,category,evidence_type,apps,channel_invariant,sqlite_mapped,mapped_dbs,cua_required,gui_artifact,instruction_pins_gold,dv_from_answer,identifiable,eligible,exclude_reason,instruction
aggregation-f023,aggregation,aggregation,OddsMarket,False,True,oddsmarket.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"Give me a summary of my OddsMarket book in LibreOffice Calc: balance, total invested, profit or loss (split realized vs unrealized if distinguishable), and every open position."
aggregation-f029,aggregation,aggregation,HooliMail|Files,False,True,mail.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"Who am I sending mail to the most? Give me my top 5 recipients and my top 5 recurring thread subjects over the past year in a LibreOffice Writer. Heads up: I think my sent mail is filed in the new folder, not Sent."
aggregation-f030,aggregation,aggregation,Gringotts,True,True,vaultbank.sqlite,False,True,False,False,not_applicable,False,gui_artifact,How much am I sending via Zelle each month and who's getting the money? Check the most recent 2 complete calendar months prior to today and rank the recipients. Give me the results of each month in a LibreOffice Calc Spreadsheet and comapre the totals.
aggregation-f031,aggregation,aggregation,HangryDash,False,True,hangrydash.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"Compare how I was ordering HangryDash a few months ago to how I'm ordering it now. Monthly spend, top restaurants, and any trend I should know about. Report the numbers to me in a LibreOffice Calc SpreadSheet."
aggregation-f033,aggregation,aggregation,HooliCalendar|HooliMail,False,True,hoolicalendar.sqlite|mail.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact,"Tell me every recurring or frequent Thursday obligation I have this quarter, including any improv-related events (class or workshop) that fall on Thursdays. Cross-reference HooliMail for any Thursday event confirmations too. I need to know what I'm locked into. Type up a summary of my Thursdays on a LibreOffice Writer Document."
aggregation-f036,aggregation,aggregation,Gringotts,False,True,vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"How much did I spend on improv classes during the last full calendar year? Add up every Scranton Improv class charge from that year (the outbound debits whose description matches 'Scranton Improv Workshop' or 'SCRANTON IMPROV ACADEMY' case-insensitively) — exclude any inbound payments from teaching (e.g. 'Scranton Improv Academy - 1099-NEC payment' or 'VENMO SCRANTON IMPROV ACADEMY' credits, those are teaching income, not class spend) (where Scranton Improv is the payee/merchant, not just a venue address in a transportation charge)."
aggregation-f037,aggregation,aggregation,HooliMail,False,True,mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Triage my inbox. It's overflowing, so give me a per-sender count and the top 10 senders filling it up."
aggregation-f040,aggregation,aggregation,Gringotts|HooliMail,False,True,vaultbank.sqlite|mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Give me a complete rollup of everything I pay regularly: subscriptions, improv class, anything recurring. If you happen to find any renewal notices in my HooliMail, factor those in — but Gringotts is the primary source. I want both monthly and annual totals."
contradiction-f003,contradiction,contradiction_cross_source,Dinoco Airlines|Gringotts|HooliMail,False,True,dinoco-airlines.sqlite|vaultbank.sqlite|mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"My Dinoco profile says I have Gold Voyager and a decent chunk of miles, but honestly I haven't flown THAT much. Can you walk through the flights I've actually booked and tell me whether the mileage balance is realistic or inflated? Cross-check Gringotts Dinoco charges and any HooliMail boarding passes to be sure about what I've actually flown."
contradiction-f004,contradiction,contradiction_cross_source,BatBucks|OddsMarket|HooliChat|HooliWork,False,True,batbucks.sqlite|oddsmarket.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"I think I might be doubled up on GameStop. I've got it in BatBucks as an actual stock, and I also have a bet on OddsMarket for GameStop going up. Quantify my total GameStop exposure across both accounts. While you're at it, scan HooliChat and HooliWork for any GME mentions so I know who else I've been talking GameStop with."
contradiction-f005,contradiction,contradiction_cross_source,BatBucks|HooliChat|HooliWork,False,True,batbucks.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"I've been telling Jim that Oscar said VTI is the only smart buy, but I'm pretty sure my actual portfolio is mostly GameStop and Rivian. How concentrated am I in the meme stocks versus VTI? Return the percentages in a LibreOffice Calc Spreadsheet. Also check HooliChat or HooliWork for the Oscar/VTI conversation backing up my story. I want to know how big the lie is. If the lie is big enough, convert all of my GME and Rivian to VTI."
contradiction-f006,contradiction,contradiction_cross_source,Cheskepdia|Dinoco Airlines|Gringotts,False,True,cheskepdia.sqlite|dinoco-airlines.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"I've got the Jamaica trip AND the Barbados trip booked about four weeks apart. Given where my credit card balance is right now, can I actually afford both of these or am I about to max out? Be honest with me."
contradiction-f008,contradiction,contradiction_cross_source,SprintBoard|HooliShop|HooliWork,False,True,hoolishop.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"The Team Morale Initiative Q2 project has a ton of open tasks, but I'm pretty sure I've been spending more time buying karaoke machines and Dundie trophies than actually closing tasks. Am I doing the morale work or just buying stuff?"
contradiction-f011,contradiction,contradiction_cross_source,SpeedTax|Gringotts|HooliMail,False,True,speedtax.sqlite|vaultbank.sqlite|mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"My tax return claims a charitable deduction for last year. Can you cross-check that against actual donations that hit my card over the past year? If you happen to spot any charity donation receipts in my HooliMail while you're at it, factor those in too. I want to know if the number holds up or if my accountant is exaggerating."
contradiction-f012,contradiction,contradiction_cross_source,HooliShop|HooliMail|SprintBoard,False,True,hoolishop.sqlite|mail.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"The current year's Dundies planning email thread is talking about ordering trophies. I have a vague memory of buying some a while back, but I'm not sure if it actually happened. Am I about to pay for trophies twice, or do I need to order them fresh? Check HooliShop for any prior trophy/award-style orders, then check SprintBoard for any Dundies trophy-ordering tasks too in case it's on there."
contradiction-f013,contradiction,contradiction_cross_source,HooliShop|LockedIn|HooliChat|HooliWork,False,True,hoolishop.sqlite|lockedin.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"I bought multiple World's Best Boss mugs in a single HooliShop order. Why so many at once? Is it for gifts, replacements for breakage, or backups for myself? Figure it out. My LockedIn headline and any coworker chatter on HooliChat or HooliWork might hint at the why."
contradiction-f014,contradiction,contradiction_cross_source,LockedIn|SpeedTax|HooliChat|Gringotts,False,True,lockedin.sqlite|speedtax.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"I've been telling people in DMs that I make 160K base, but my W-2 says something different. Can you check my W-2, the paycheck deposits on my card, and compare them to what I've been claiming? Note my LockedIn title/company as the identity I'm claiming against. I need to know how embarrassing this is."
contradiction-f015,contradiction,contradiction_cross_source,TableFind|HooliCalendar|HooliChat,False,True,tablefind.sqlite|hoolicalendar.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,I've got a TableFind reservation coming up — check my calendar for that exact date and time. Is there something else already scheduled that's going to conflict? Also peek at HooliChat in case we already rescheduled or confirmed this dinner.
contradiction-f016,contradiction,contradiction_cross_source,Dinoco Airlines|HooliCalendar|SprintBoard|HooliMail,False,True,dinoco-airlines.sqlite|hoolicalendar.sqlite|mail.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"My upcoming Jamaica flight leaves early morning that day. Check my calendar for anything scheduled that morning (meetings, improv, whatever), plus any SprintBoard tasks due that day and any HooliMail invites landing on that date, and flag the worst conflict so I can deal with it."
contradiction-f017,contradiction,contradiction_cross_source,Gringotts|BatBucks|HooliChat,False,True,vaultbank.sqlite|batbucks.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,I've been telling Pam over DMs that I'm being financially disciplined this year. Pull my biggest single expense so far this year (check both Gringotts and my biggest discretionary BatBucks buy) and put it next to that claim. How bad does it look?
contradiction-f021,contradiction,contradiction_cross_source,LockedIn|Files|Firefox|HooliMail,False,True,lockedin.sqlite|mail.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"My LockedIn says I'm the Author of 'Somehow I Manage' but I'm pretty sure the file on my computer only has Chapter 1. Did I actually finish the book? Reconcile the claim with what's actually saved locally, and while you're at it, scan my Firefox history for any self-publishing/manuscript uploads and HooliMail for any publisher or editor replies."
contradiction-f022,contradiction,contradiction_cross_source,Gringotts|HooliChat|HooliMail|SpeedTax,False,True,vaultbank.sqlite|mail.sqlite|speedtax.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"I've been sending a bunch of money via Zelle each month. Can you figure out who's getting it (use HooliChat DMs and HooliMail Zelle confirmations to put names to recipients), and then cross-check against my SpeedTax return for charitable donations or dependents claimed there? If SpeedTax only shows aggregate totals (not per-recipient names), call that out as inconclusive instead of guessing. I don't want to double-dip by accident."
contradiction-f023,contradiction,contradiction_cross_source,eTaxi|LockedIn|SpeedTax,True,True,etaxi.sqlite|lockedin.sqlite|speedtax.sqlite,True,False,False,False,not_applicable,False,cua_required,"Audit my workplace info across my apps: eTaxi Work address, LockedIn company, and my W-2 employer. Do they all agree, or is one of them stale?"
contradiction-f024,contradiction,contradiction_cross_source,HooliMail|SpeedTax|Gringotts|Files,False,True,mail.sqlite|speedtax.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Jan rejected my latest expense report, but I think some of those same charges might be sitting in my tax return as deductions. The Chili's receipt in ~/Downloads/ was one of the rejected ones — start there. Find any rejected items that I'm accidentally double-dipping into the return? I do NOT want to get audited."
counterfactual-f001,counterfactual,contradiction_cross_source,Dinoco Airlines|Cheskepdia|Gringotts|HooliCalendar|HooliMail|eTaxi,False,True,dinoco-airlines.sqlite|cheskepdia.sqlite|vaultbank.sqlite|hoolicalendar.sqlite|mail.sqlite|etaxi.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Hypothetical: what if I bail on Jamaica 72 hours before the flight? Figure out the damage across flight, hotel, and cards. How much do I actually get back versus eat? And what do I need to cancel or clean up on my calendar, in email, and with my airport ride? Give me an action plan."
counterfactual-f002,counterfactual,contradiction_cross_source,Gringotts|BatBucks|OddsMarket|Cheskepdia|HooliMail,False,True,vaultbank.sqlite|batbucks.sqlite|oddsmarket.sqlite|cheskepdia.sqlite|mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"What if my credit card gets declined when the hotel tries to settle my Barbados booking? Walk me through my rescue options (checking, savings, brokerage cash, prediction-market balance), and check HooliMail for any Cheskepdia grace-period or alternate-card hold policy before ranking them by which one hurts me least. I need to know my play."
counterfactual-f003,counterfactual,contradiction_cross_source,HooliMail|HooliShop|HangryDash|Gringotts|Files,False,True,mail.sqlite|hoolishop.sqlite|hangrydash.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"What if the Dundies venue ends up costing double what I planned? Where do I cut: trophies, catering, somewhere else? Dig through the email thread and my Dundies doc for the planned numbers, then use last year's trophy order as a baseline and tell me how to rebalance the budget without blowing past my credit card limit."
counterfactual-f004,counterfactual,contradiction_cross_source,Gringotts|SpeedTax|HooliCalendar|HooliMail,True,True,vaultbank.sqlite|speedtax.sqlite|hoolicalendar.sqlite|mail.sqlite,False,False,False,True,pending_dummy_probe,True,,"What if I quit improv class? I pay them each month but I also got a 1099 from the same place, so am I a student or am I teaching? Figure out which, then tell me the real net annual savings if I walk away. Also how much calendar time do I get back, and flag any HooliMail threads where I'd need to send a cancellation notice."
counterfactual-f005,counterfactual,contradiction_cross_source,BatBucks|Gringotts,False,True,batbucks.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"What if I doubled my GameStop position by buying enough shares to match what I already own at my average cost? Can I actually afford that given my checking, savings, and how much headroom I have left on the credit card? Give me a go or no-go with the concentration-risk caveat."
counterfactual-f008,counterfactual,contradiction_cross_source,BatBucks|LibreOffice Calc,True,True,batbucks.sqlite,False,True,False,False,not_applicable,False,gui_artifact,"What if I sold all my GameStop and Rivian and rolled the whole thing into VTI? Use cost basis (no live prices) and show me what my portfolio would look like before and after, with percentages. Use LibreOffice Calc to report this."
counterfactual-f010,counterfactual,contradiction_cross_source,Gringotts|Dinoco Airlines,False,True,vaultbank.sqlite|dinoco-airlines.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,What if I upgraded all my upcoming flights to first class? Assume it's about six hundred bucks extra per flight. Can I cover that out of checking and savings without touching the credit card? And which flight would honestly be most + least worth upgrading?
counterfactual-f013,counterfactual,contradiction_cross_source,Files|BatBucks|OddsMarket|Gringotts,False,True,batbucks.sqlite|oddsmarket.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Hypothetical: what if I self-funded the Threat Level Midnight sequel with a five grand budget? I'd pull from my brokerage dividends, the prediction-market balance, and savings. Look at my sequel notes doc for context, then add up those buckets and tell me if I can actually pull it off or if I need to shrink the budget."
counterfactual-f014,counterfactual,contradiction_cross_source,Dinoco Airlines|HooliCalendar|SprintBoard|HooliWork|HooliMail|Cheskepdia,False,True,dinoco-airlines.sqlite|hoolicalendar.sqlite|mail.sqlite|cheskepdia.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Imagine the scenario where my NYC flight had been cancelled on the morning of departure and I had to bump the whole trip a day. What Dunder Mifflin stuff would I have missed that day across calendar events, project tasks, sales channel activity, and standing meetings? And what would it have cost me on the hotel if I lost a night?"
cua_only-f003,situated_action,control_no_personal_records,SprintBoard,True,False,,True,False,False,False,not_applicable,False,no_mapped_sqlite|cua_required,"Pop open my Diversity Day Planning 2026 board on SprintBoard and drag a card out of the Todo column into In Progress — just one card, whichever you think is the most sensible next step for Diversity Day prep."
cua_only-f009,situated_action,control_no_personal_records,HooliChat|Files,True,False,,True,False,False,False,not_applicable,False,no_mapped_sqlite|cua_required,"Go into the Party Planning Committee chat in HooliChat, scroll to a recent message you find useful, screenshot the message in context (showing it sits in the Party Planning Committee group), and drop the image on my desktop as ~/Desktop/chat_message_screenshot.png."
cua_only-f011,situated_action,control_no_personal_records,LibreOffice Writer,False,False,,True,True,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required|gui_artifact,"Open my Dundies 2026 categories doc in Writer, bold the 'Whitest Sneakers' line, then add a new category called 'Fine Work Outfit' right after it. Save it when you're done."
hard_app-f010,situated_action,control_no_personal_records,HooliWork,True,False,,True,False,False,False,not_applicable,False,no_mapped_sqlite|cua_required,"Turn on my HooliWork notifications so I don't miss anything important. For the sales, general, random, and party-planning-committee channels, make sure each channel's notification preference is set to 'all messages' (flip anything that isn't already there). Bookmark ten important messages across those channels while you're in there, and start a new thread in random about Pretzel Day to build hype."
hard_app-f033,situated_action,control_no_personal_records,HooliCalendar|HooliWork,False,True,hoolicalendar.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Check my Thursday for any improv conflicts. If there's a Thursday improv class window stomping on a work meeting (and I cannot skip improv), find a different Thursday slot for the work meeting that doesn't touch the improv window, and add fifteen-minute buffers on both sides so I can transition without looking frazzled. I think the meeting has Andy and Jim, message them on HooliWork and send them updated invites on Hoolicalendar if needed. If no Thursday meeting actually overlaps an improv block, just confirm the all-clear and move on."
situated_action-f003,situated_action,control_no_personal_records,HooliMail|Files,False,True,mail.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Email Toby and ask him to sign off on my Q2 Team Morale Initiative. The project doc is in my Documents folder; pull a short summary from it so he knows what he's approving. Keep it professional. (Yes, even though it's Toby.)"
situated_action-f004,situated_action,control_no_personal_records,HooliWork|Files,False,False,,True,False,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required,"Post a Motivational Monday message in our #random channel at work. You know how I like it: World's Best Boss style, kick the team's week off right. Pull a quote or two from my Motivational Quotes Collection in ~/Documents/ as a starting point so it doesn't feel made up."
situated_action-f006,situated_action,control_no_personal_records,eTaxi|Dinoco Airlines|HooliCalendar,False,True,etaxi.sqlite|dinoco-airlines.sqlite|hoolicalendar.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Book a ride to AVP for the morning of my upcoming Jamaica flight. First confirm the exact departure time in the airline app, then schedule a pickup from my place with enough cushion so I'm not sprinting through security. Drop a matching reminder on my calendar too."
situated_action-f020,situated_action,control_no_personal_records,SprintBoard,False,False,,True,False,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required,Start a new sprint cycle for the Diversity Day Planning 2026 project for the week starting three days ago and commit eight story points to the goal. Let's move some work.
situated_action-f026,situated_action,control_no_personal_records,HooliChat,True,False,,True,False,False,False,not_applicable,False,no_mapped_sqlite|cua_required,DM Jim and propose a near-future evening for the next Finer Things Club meetup. Pick something this week or next. He'd be a great addition; he has taste.
situated_action-f028,situated_action,control_no_personal_records,Cheskepdia,True,True,cheskepdia.sqlite,True,False,False,False,not_applicable,False,cua_required,"I'm feeling nostalgic. Book me an upcoming Scranton weekend, Friday through Sunday. Pick a well-rated property in town and book it."
situated_action-f032,situated_action,control_no_personal_records,HooliMail|Files,False,True,mail.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,Send Pam the Dundies 2026 categories doc as an attachment through email and ask her to proofread it. She's the best eye I know on this stuff.
situated_action-f034,situated_action,control_no_personal_records,SprintBoard,False,False,,True,False,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required,"Pop open the Diversity Day Planning 2026 board on SprintBoard. The 'Order snacks representing every culture' task is sitting in todo and that one's mine. Move it into In Progress so the team sees I'm on it, and add 2 new sub-tasks under it (one for finalizing the cuisine list, one for confirming the HangryDash multi-cuisine order)."
situated_action-f036,situated_action,control_no_personal_records,HooliWork,False,False,,True,False,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required,Post a Pretzel Day countdown for next Monday at 8:00 AM EST in the #party-planning-committee channel at work. Build the hype.
cua_only-f022,situated_action,latent_action,HangryDash|Files,False,True,hangrydash.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Go into HangryDash and build my usual Sweetgreen order, but stop at the cart preview. Do NOT submit it. Pull it up so I can confirm it's exactly right before I pull the trigger."
hard_app-f013,situated_action,latent_action,HangryDash,False,True,hangrydash.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"I want a salad-forward lunch today on HangryDash from a restaurant in my order history that fits my vibe (salad-forward, nothing too spicy). Stick to my usual lunch budget. Apply any promo codes that surface and tip the driver 20%."
preference_inference-f025,preference_inference,latent_action,HangryDash|LibreOffice Calc,False,True,hangrydash.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"What do I usually tip on food delivery, in dollars and as a percent? I want to set a smart default so I'm not thinking about it every order. Give me a report of all my orders and their tips in a LibreOffice spreadsheet."
situated_action-f009,situated_action,latent_action,HangryDash,True,True,hangrydash.sqlite,True,False,False,False,not_applicable,False,cua_required,"Order me my usual from Chili's — pick whichever item I've ordered most often from there, or just match my most recent Chili's order if multiple items are tied. Deliver to my place."
preference_inference-f002,preference_inference,multi_record,eTaxi|Dinoco Airlines|HooliCalendar,True,True,etaxi.sqlite|dinoco-airlines.sqlite|hoolicalendar.sqlite,True,False,False,False,not_applicable,False,cua_required,"For my Jamaica flight out of AVP, what time should I book the car for based on how much buffer I usually give myself? Go off my past airport rides, and check my HooliCalendar for any pre-flight travel block or airport-pickup reminder I've already set for the Jamaica departure."
preference_inference-f004,preference_inference,multi_record,TableFind|HangryDash,True,True,tablefind.sqlite|hangrydash.sqlite,False,False,False,True,pending_dummy_probe,True,,"Am I more of a dine-out guy or a delivery guy? Look at where I make reservations vs where I order delivery from, top 5 each, and tell me how I split."
preference_inference-f005,preference_inference,multi_record,BatBucks,False,True,batbucks.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"Take a look at my brokerage portfolio. How bad is my meme-stock problem, and what would a sensible rebalance look like that doesn't totally abandon the names I actually like? Use cost basis, not market prices. While you're at it, peek at my old WUPHF investment agreement in ~/Downloads/ — that one was the OG mistake, and it sets the pattern for how I get into these things. Return the review of my portfolio in LibreOffice Writer."
preference_inference-f009,preference_inference,multi_record,Kwik-E-Mart,False,True,kwik-e-mart.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"What's my favorite grocery store, and what do I actually buy there? Rank my stores and give me a quick profile of my shopping habits in LibreOffice Writer. "
preference_inference-f010,preference_inference,multi_record,HooliMail,False,True,mail.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Help me auto-triage my inbox. Which senders do I usually reply to fast, and which ones do I let sit for days? I want to build a priority filter around that pattern."
preference_inference-f014,preference_inference,multi_record,Cheskepdia,False,True,cheskepdia.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"Look at my hotel and resort bookings on Cheskepdia. Am I a luxury-hotels guy or a budget-hotels guy, and what's my pattern?"
preference_inference-f018,preference_inference,multi_record,BatBucks|OddsMarket,True,True,batbucks.sqlite|oddsmarket.sqlite,False,False,False,True,pending_dummy_probe,True,,"I'm clearly a GameStop believer: I've got shares AND a prediction-market bet on it. If I wanted to lean INTO that conviction instead of fighting it, what would a rebalance look like? Cost basis only, no live prices."
preference_inference-f021,preference_inference,multi_record,HooliChat,False,False,,False,True,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|gui_artifact,"When someone DMs me on HooliChat, how fast do I actually write back? Bucket my replies (under 5 minutes, under an hour, under a day, longer) and tell me if I'm a fast responder or a ghoster. Return the distribution of my responses in a LibreOffice Writer Chart."
preference_inference-f023,preference_inference,multi_record,HooliCalendar|LibreOffice Writer,False,True,hoolicalendar.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact,Is my week front-loaded in the morning or packed in the evening? Pull up my calendar for this week and count events AM vs PM and give it to me in a LibreOffice Writer note.
cua_only-f001,cua_only,other,Dinoco Airlines,False,True,dinoco-airlines.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required|evidence_type_other,"Open the Dinoco Airlines app, check in my next upcoming flight and confirm that the boarding pass screen actually renders. Download it locally as well."
cua_only-f002,cua_only,other,SpeedTax,False,True,speedtax.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required|evidence_type_other,"I started this year's tax return on SpeedTax but never finished. Walk through the in-progress current-year return — review my wages and any freelance/1099 income, look over the deductions section, and click Continue all the way through to the review step (step 6) so I can see what I'd actually owe or get back. Don't submit it yet, just get it ready for me to eyeball."
cua_only-f004,long_horizon,other,BatBucks|Files|LibreOffice Writer,False,True,batbucks.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact|evidence_type_other,"Pull up my GME position in BatBucks and give me a report of the three-month chart, with a screenshot and analysis of the chart."
cua_only-f005,situated_action,other,Thunar,False,False,,True,False,False,False,not_applicable,False,not_channel_invariant|no_mapped_sqlite|cua_required|evidence_type_other,Drag that Jamaica boarding pass file out of my Downloads folder and into a proper Jamaica subfolder under my Trips docs (make the folder if it isn't already there). Rename it to something like jamaica_boarding_pass (keep whatever extension it has) so I can actually find it later.
cua_only-f006,long_horizon,other,HooliMail|LibreOffice Writer,False,True,mail.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact|evidence_type_other,"Go into the Dundies email thread and find Toby's HR objection paragraph. Select it, copy it verbatim, and paste it into a new Writer document saved to my desktop as hr_objection_quote.odt."
