id,category,behavioral_type,difficulty,n_apps,n_rubrics,rubric_class,n_pinned,n_seed_relative,n_procedural,var_keys,n_var_keys,personal_ref,instruction
hard_app-f034,long_horizon,bounded_action,hard,1,10,pinned,1,0,1,SPEEDTAX_FILING_STATUS,1,True,"Build me a full Dundies prep schedule on my calendar. I want five events spread across the next two weeks: a categories brainstorm, a venue walkthrough, MC rehearsal, catering confirmation, and a dress rehearsal. Color-code them so they pop, invite Pam, Dwight, Kevin, Jim, and Holly on each, and if the event editor lets you set reminders, add 24-hour and 1-hour reminders as well."
preference_inference-f023,preference_inference,pattern_inference,medium,2,8,seed_relative,0,2,1,,0,True,Is my week front-loaded in the morning or packed in the evening? Pull up my calendar for this week and count events AM vs PM and give it to me in a LibreOffice Writer note.
hard_app-f007,situated_action,bounded_action,hard,1,6,pinned,5,0,0,BUZZCHAT_GROUPS,1,True,"My HooliChat is a mess and I want you to do some light housekeeping. In the Party Planning Committee, Dundie Awards Planning, and Finer Things Club groups, post a short recap message in each one summarizing whatever conversation exists — call out the three most useful messages if there are enough to pick from, otherwise just summarize the entire conversation in that group. Then in the Party Planning Committee group, send a status update reminder calling for any new agenda items."
preference_inference-f021,preference_inference,pattern_inference,hard,1,6,seed_relative,0,2,0,,0,True,"When someone DMs me on HooliChat, how fast do I actually write back? Bucket my replies (under 5 minutes, under an hour, under a day, longer) and tell me if I'm a fast responder or a ghoster. Return the distribution of my responses in a LibreOffice Writer Chart."
situated_action-f026,situated_action,bounded_action,medium,1,4,pinned,4,0,0,BUZZCHAT_GROUPS;ZELLE_RECIPIENTS_CONTACT_ONLY,2,False,DM Jim and propose a near-future evening for the next Finer Things Club meetup. Pick something this week or next. He'd be a great addition; he has taste.
aggregation-f037,aggregation,aggregation_reporting,hard,1,5,seed_relative,0,1,0,,0,True,"Triage my inbox. It's overflowing, so give me a per-sender count and the top 10 senders filling it up."
cua_only-f015,long_horizon,bounded_action,hard,1,6,pinned,1,0,1,MAILDIR_TOP_SENT_RECIPIENTS,1,True,"Compose a quick new email to Pam in HooliMail with my signature ('World's Best Boss, Somehow I Manage') typed at the bottom of the body. Save it as a draft so I can review and send later."
preference_inference-f010,preference_inference,pattern_inference,hard,1,6,seed_relative,0,3,0,,0,True,"Help me auto-triage my inbox. Which senders do I usually reply to fast, and which ones do I let sit for days? I want to build a priority filter around that pattern."
situated_action-f027,situated_action,multi_step_orchestration,medium,3,5,mixed,4,2,0,WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,2,True,Start a draft email to David Wallace with my most recent quarter's sales summary. Pull a ballpark from my ~/Downloads/DunderMifflin_Q2_Sales_Forecast.txt so the numbers actually have a basis. Save it as a draft; do NOT hit send. I want to review it first. Do some analysis in LibreOffice Calc so I have some empirical analysis to send him as well.
hard_app-f019,situated_action,bounded_action,hard,1,8,seed_relative,0,4,1,,0,True,"Remember my most recent World's Best Boss Mug order from HooliShop? Pull up that order and start a return on it — it came out a little off. While you're at it, reorder a replacement (prefer a Prime-eligible listing so it ships quickly), and leave a five-star review on the product page praising the vendor anyway because I love them."
hard_app-f020,long_horizon,bounded_action,hard,1,8,mixed,1,1,1,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,I want to give every member of the team a personalized World's Best Boss mug as a Dundies thank-you. Place a bulk order on HooliShop for about two dozen World's Best Boss mugs (look for the variant I've bought before) and apply any subscribe-and-save or bulk discount before checkout. Ship them to the office. Don't buy anything else.
situated_action-f039,situated_action,bounded_action,hard,1,4,seed_relative,0,3,0,,0,True,"I want another copy of my own book — Somehow I Manage. Order me one, same as my last order of that book, and ship it home."
hard_app-f010,situated_action,bounded_action,hard,1,8,pinned,2,0,0,WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,2,True,"Turn on my HooliWork notifications so I don't miss anything important. For the sales, general, random, and party-planning-committee channels, make sure each channel's notification preference is set to 'all messages' (flip anything that isn't already there). Bookmark ten important messages across those channels while you're in there, and start a new thread in random about Pretzel Day to build hype."
situated_action-f004,situated_action,bounded_action,easy,2,5,unclear,0,0,0,,0,True,"Post a Motivational Monday message in our #random channel at work. You know how I like it: World's Best Boss style, kick the team's week off right. Pull a quote or two from my Motivational Quotes Collection in ~/Documents/ as a starting point so it doesn't feel made up."
situated_action-f036,situated_action,bounded_action,medium,1,4,procedural_only,0,0,1,,0,False,Post a Pretzel Day countdown for next Monday at 8:00 AM EST in the #party-planning-committee channel at work. Build the hype.
hard_app-f017,situated_action,bounded_action,hard,1,7,seed_relative,0,2,2,,0,True,"Reorder my last run from a Kwik-E-Mart store I've used recently — pick a store I've ordered from most often OR most recently in my order history. If anything's out of stock, swap in reasonable substitutes (otherwise just keep what's available). Do a quick price check against another store in the app so I know I'm not getting fleeced, and schedule delivery for before end of day today."
hard_app-f018,long_horizon,bounded_action,hard,1,8,mixed,2,2,1,,0,True,"Build me a Kwik-E-Mart shopping spree for Dundies catering for about a hundred people: drinks, chips, plates, plastic silverware, napkins, plenty of ice, the works. Use Wegman's. Check out with delivery to my home address and make sure the delivery window is at least a two-hour slot so I'm not stuck waiting by the door all afternoon."
preference_inference-f009,preference_inference,pattern_inference,easy,1,6,seed_relative,0,3,0,,0,True,"What's my favorite grocery store, and what do I actually buy there? Rank my stores and give me a quick profile of my shopping habits in LibreOffice Writer. "
situated_action-f018,situated_action,bounded_action,hard,1,5,mixed,2,3,0,KWIK_TOP_STORE,1,True,"I need groceries from Price Chopper this week (changing it up from Wegmans). Reorder whatever I got the most recent time I shopped at Price Chopper on Kwik-E-Mart and have it delivered to home. Tip 20%, I feel bad for not tipping last time. Make sure we add oat milk and eggs if not in the order, need those!"
cua_only-f011,situated_action,bounded_action,medium,1,6,pinned,3,0,2,,0,True,"Open my Dundies 2026 categories doc in Writer, bold the 'Whitest Sneakers' line, then add a new category called 'Fine Work Outfit' right after it. Save it when you're done."
cua_only-f021,long_horizon,bounded_action,hard,1,7,pinned,4,0,0,SPEEDTAX_FILING_STATUS,1,True,"Write me a one-page Dundies 2026 invitation in Writer. I want a big bold title at the top, a bulleted list of this year's categories pulled from my Dundies categories doc, and a signature block that says 'Michael Scott, World's Best Boss'. Save it to my desktop so I can print a stack."
cua_only-f024,long_horizon,multi_step_orchestration,medium,4,5,mixed,2,4,0,JAMAICA_HOTEL_NAME,1,True,"Throw together a three-slide Impress deck for my Jamaica trip: one slide for the flight info, one for the Sandals hotel info, and one with a rough daily schedule. Save it into my Trips documents folder."
aggregation-f002,aggregation,aggregation_reporting,hard,5,7,unclear,0,0,0,,0,True,"It's early morning today. Give me a morning brief in LibreOffice Writer covering any priority email from this week, what's on my calendar today, anything that came in overnight on HooliChat or HooliWork, and any charges that hit my card since midnight."
aggregation-f004,aggregation,aggregation_reporting,medium,2,4,pinned,1,0,1,SPEEDTAX_FILING_STATUS,1,False,What did that recent Philadelphia overnight trip cost me all-in? It was a quick one-night hotel stay downtown. Give me the damage from the hotel and any related card charges.
aggregation-f005,aggregation,aggregation_reporting,hard,3,6,mixed,3,2,0,BARBADOS_FLIGHT_CONF;BARBADOS_HOTEL_NAME,2,True,Add up what I've already committed to the Barbados trip in a LibreOffice Calc sheet and flag any gap. I know the hotel is booked but I'm not sure if the flight charge actually hit yet.
aggregation-f009,aggregation,aggregation_reporting,hard,4,7,seed_relative,0,4,2,,0,True,"Build me a standup summary for today covering all the open issues on SprintBoard, what I posted on HooliWork, and what meetings I have including the takeaways from the recent all-hands (notes are saved on my Desktop as meeting_notes_allhands)."
aggregation-f010,aggregation,aggregation_reporting,hard,5,7,pinned,3,0,0,BUZZCHAT_GROUPS,1,True,"Pull together everything I've spent or committed to the Dundies this year so far into a LibreOffice Calc Spreadsheet. Check my trophy orders, any mentions in the planning group chat, and the categories doc. Write up a report in LibreOffice Writer when you're done."
aggregation-f011,aggregation,aggregation_reporting,hard,6,9,mixed,2,2,0,WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,2,True,"Put together a last-quarter performance review packet I can send to David Wallace. Pull my project progress (closed and open), my chat participation, any LockedIn posts, and relevant sent email threads. Pair it with a quick forward-look using the quarter sales forecast doc in ~/Downloads/ so David sees I'm thinking next quarter too. Make me look good. Build the actual perf-review packet as a LibreOffice Impress 4-slide deck (project progress / chat + LockedIn presence / forward-look / ask) — David likes visuals."
aggregation-f018,aggregation,aggregation_reporting,hard,3,7,pinned,7,0,0,SPEEDTAX_TAX_YEAR,1,True,"Roll up my tax deductions for my accountant. Pull the line items (charitable, home-office days, 1099 income, W-2 gross/withholdings) from my in-progress Tax Year 2025 return in SpeedTax, and cross-check each line against my matching Tax_2025 source docs in ~/Documents (w2_summary.txt, 1099s.txt) to see whether the numbers in the in-progress return reconcile with the source docs. Don't guess the final refund on the in-progress return — that one isn't done yet."
aggregation-f020,aggregation,aggregation_reporting,hard,2,6,unclear,0,0,0,,0,True,"My credit card is deep in the hole. Tell me how fast I've been burning through it by giving me a monthly burn rate, then check if my BatBucks cash could cover a paydown."
aggregation-f029,aggregation,aggregation_reporting,hard,2,6,seed_relative,0,2,0,,0,True,"Who am I sending mail to the most? Give me my top 5 recipients and my top 5 recurring thread subjects over the past year in a LibreOffice Writer. Heads up: I think my sent mail is filed in the new folder, not Sent."
aggregation-f031,aggregation,aggregation_reporting,hard,1,7,seed_relative,0,3,0,,0,True,"Compare how I was ordering HangryDash a few months ago to how I'm ordering it now. Monthly spend, top restaurants, and any trend I should know about. Report the numbers to me in a LibreOffice Calc SpreadSheet."
aggregation-f033,aggregation,aggregation_reporting,medium,2,6,unclear,0,0,0,,0,True,"Tell me every recurring or frequent Thursday obligation I have this quarter, including any improv-related events (class or workshop) that fall on Thursdays. Cross-reference HooliMail for any Thursday event confirmations too. I need to know what I'm locked into. Type up a summary of my Thursdays on a LibreOffice Writer Document."
aggregation-f040,aggregation,aggregation_reporting,hard,2,7,unclear,0,0,0,,0,True,"Give me a complete rollup of everything I pay regularly: subscriptions, improv class, anything recurring. If you happen to find any renewal notices in my HooliMail, factor those in — but Gringotts is the primary source. I want both monthly and annual totals."
contradiction-f003,contradiction,cross_source_reconciliation,hard,3,8,seed_relative,0,2,1,,0,True,"My Dinoco profile says I have Gold Voyager and a decent chunk of miles, but honestly I haven't flown THAT much. Can you walk through the flights I've actually booked and tell me whether the mileage balance is realistic or inflated? Cross-check Gringotts Dinoco charges and any HooliMail boarding passes to be sure about what I've actually flown."
contradiction-f004,contradiction,cross_source_reconciliation,hard,4,8,mixed,1,1,0,,0,True,"I think I might be doubled up on GameStop. I've got it in BatBucks as an actual stock, and I also have a bet on OddsMarket for GameStop going up. Quantify my total GameStop exposure across both accounts. While you're at it, scan HooliChat and HooliWork for any GME mentions so I know who else I've been talking GameStop with."
contradiction-f005,contradiction,cross_source_reconciliation,hard,3,10,unclear,0,0,0,,0,True,"I've been telling Jim that Oscar said VTI is the only smart buy, but I'm pretty sure my actual portfolio is mostly GameStop and Rivian. How concentrated am I in the meme stocks versus VTI? Return the percentages in a LibreOffice Calc Spreadsheet. Also check HooliChat or HooliWork for the Oscar/VTI conversation backing up my story. I want to know how big the lie is. If the lie is big enough, convert all of my GME and Rivian to VTI."
contradiction-f006,contradiction,cross_source_reconciliation,hard,3,8,seed_relative,0,1,0,,0,True,"I've got the Jamaica trip AND the Barbados trip booked about four weeks apart. Given where my credit card balance is right now, can I actually afford both of these or am I about to max out? Be honest with me."
contradiction-f008,contradiction,cross_source_reconciliation,hard,3,8,mixed,4,1,0,SPRINTBOARD_PROJECTS;SPRINTBOARD_TOP_PROJECT_NAME,2,True,"The Team Morale Initiative Q2 project has a ton of open tasks, but I'm pretty sure I've been spending more time buying karaoke machines and Dundie trophies than actually closing tasks. Am I doing the morale work or just buying stuff?"
contradiction-f011,contradiction,cross_source_reconciliation,medium,3,7,seed_relative,0,1,0,,0,True,"My tax return claims a charitable deduction for last year. Can you cross-check that against actual donations that hit my card over the past year? If you happen to spot any charity donation receipts in my HooliMail while you're at it, factor those in too. I want to know if the number holds up or if my accountant is exaggerating."
contradiction-f012,contradiction,cross_source_reconciliation,hard,3,8,mixed,1,2,0,DUNDIES_THREAD_SUBJECT,1,True,"The current year's Dundies planning email thread is talking about ordering trophies. I have a vague memory of buying some a while back, but I'm not sure if it actually happened. Am I about to pay for trophies twice, or do I need to order them fresh? Check HooliShop for any prior trophy/award-style orders, then check SprintBoard for any Dundies trophy-ordering tasks too in case it's on there."
contradiction-f013,contradiction,cross_source_reconciliation,medium,4,8,mixed,1,3,0,SPEEDTAX_FILING_STATUS,1,True,"I bought multiple World's Best Boss mugs in a single HooliShop order. Why so many at once? Is it for gifts, replacements for breakage, or backups for myself? Figure it out. My LockedIn headline and any coworker chatter on HooliChat or HooliWork might hint at the why."
contradiction-f014,contradiction,cross_source_reconciliation,hard,4,8,seed_relative,0,3,0,,0,True,"I've been telling people in DMs that I make 160K base, but my W-2 says something different. Can you check my W-2, the paycheck deposits on my card, and compare them to what I've been claiming? Note my LockedIn title/company as the identity I'm claiming against. I need to know how embarrassing this is."
contradiction-f015,contradiction,cross_source_reconciliation,easy,3,7,seed_relative,0,2,2,,0,True,I've got a TableFind reservation coming up — check my calendar for that exact date and time. Is there something else already scheduled that's going to conflict? Also peek at HooliChat in case we already rescheduled or confirmed this dinner.
contradiction-f016,contradiction,cross_source_reconciliation,medium,4,8,unclear,0,0,0,,0,True,"My upcoming Jamaica flight leaves early morning that day. Check my calendar for anything scheduled that morning (meetings, improv, whatever), plus any SprintBoard tasks due that day and any HooliMail invites landing on that date, and flag the worst conflict so I can deal with it."
contradiction-f017,contradiction,cross_source_reconciliation,hard,3,7,mixed,1,3,0,SPEEDTAX_FILING_STATUS,1,True,I've been telling Pam over DMs that I'm being financially disciplined this year. Pull my biggest single expense so far this year (check both Gringotts and my biggest discretionary BatBucks buy) and put it next to that claim. How bad does it look?
contradiction-f021,contradiction,cross_source_reconciliation,medium,4,7,procedural_only,0,0,1,,0,True,"My LockedIn says I'm the Author of 'Somehow I Manage' but I'm pretty sure the file on my computer only has Chapter 1. Did I actually finish the book? Reconcile the claim with what's actually saved locally, and while you're at it, scan my Firefox history for any self-publishing/manuscript uploads and HooliMail for any publisher or editor replies."
contradiction-f022,contradiction,cross_source_reconciliation,hard,4,8,procedural_only,0,0,1,,0,True,"I've been sending a bunch of money via Zelle each month. Can you figure out who's getting it (use HooliChat DMs and HooliMail Zelle confirmations to put names to recipients), and then cross-check against my SpeedTax return for charitable donations or dependents claimed there? If SpeedTax only shows aggregate totals (not per-recipient names), call that out as inconclusive instead of guessing. I don't want to double-dip by accident."
contradiction-f023,contradiction,cross_source_reconciliation,medium,3,5,procedural_only,0,0,1,,0,True,"Audit my workplace info across my apps: eTaxi Work address, LockedIn company, and my W-2 employer. Do they all agree, or is one of them stale?"
contradiction-f024,contradiction,cross_source_reconciliation,hard,4,9,mixed,1,2,2,DUNDIES_DOC_VENUE,1,True,"Jan rejected my latest expense report, but I think some of those same charges might be sitting in my tax return as deductions. The Chili's receipt in ~/Downloads/ was one of the rejected ones — start there. Find any rejected items that I'm accidentally double-dipping into the return? I do NOT want to get audited."
counterfactual-f001,counterfactual,cross_source_reconciliation,hard,6,7,mixed,1,1,0,JAMAICA_HOTEL_NAME,1,True,"Hypothetical: what if I bail on Jamaica 72 hours before the flight? Figure out the damage across flight, hotel, and cards. How much do I actually get back versus eat? And what do I need to cancel or clean up on my calendar, in email, and with my airport ride? Give me an action plan."
counterfactual-f002,counterfactual,cross_source_reconciliation,hard,5,6,procedural_only,0,0,1,,0,True,"What if my credit card gets declined when the hotel tries to settle my Barbados booking? Walk me through my rescue options (checking, savings, brokerage cash, prediction-market balance), and check HooliMail for any Cheskepdia grace-period or alternate-card hold policy before ranking them by which one hurts me least. I need to know my play."
counterfactual-f003,counterfactual,cross_source_reconciliation,hard,5,6,mixed,1,1,0,,0,True,"What if the Dundies venue ends up costing double what I planned? Where do I cut: trophies, catering, somewhere else? Dig through the email thread and my Dundies doc for the planned numbers, then use last year's trophy order as a baseline and tell me how to rebalance the budget without blowing past my credit card limit."
counterfactual-f004,counterfactual,cross_source_reconciliation,hard,4,6,pinned,3,0,0,SPEEDTAX_1099_PAYER,1,True,"What if I quit improv class? I pay them each month but I also got a 1099 from the same place, so am I a student or am I teaching? Figure out which, then tell me the real net annual savings if I walk away. Also how much calendar time do I get back, and flag any HooliMail threads where I'd need to send a cancellation notice."
counterfactual-f005,counterfactual,cross_source_reconciliation,hard,2,6,unclear,0,0,0,,0,True,"What if I doubled my GameStop position by buying enough shares to match what I already own at my average cost? Can I actually afford that given my checking, savings, and how much headroom I have left on the credit card? Give me a go or no-go with the concentration-risk caveat."
counterfactual-f010,counterfactual,cross_source_reconciliation,medium,2,6,mixed,2,1,0,SPEEDTAX_FILING_STATUS,1,True,What if I upgraded all my upcoming flights to first class? Assume it's about six hundred bucks extra per flight. Can I cover that out of checking and savings without touching the credit card? And which flight would honestly be most + least worth upgrading?
counterfactual-f013,counterfactual,cross_source_reconciliation,hard,4,6,mixed,2,3,0,,0,True,"Hypothetical: what if I self-funded the Threat Level Midnight sequel with a five grand budget? I'd pull from my brokerage dividends, the prediction-market balance, and savings. Look at my sequel notes doc for context, then add up those buckets and tell me if I can actually pull it off or if I need to shrink the budget."
counterfactual-f014,counterfactual,cross_source_reconciliation,hard,6,7,mixed,5,1,0,LOCKEDIN_COMPANY;NYC_DEP_TIME;NYC_HOTEL_NAME;SPEEDTAX_W2_EMPLOYER;SPRINTBOARD_PROJECTS;SPRINTBOARD_TOP_PROJECT_NAME;WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,8,True,"Imagine the scenario where my NYC flight had been cancelled on the morning of departure and I had to bump the whole trip a day. What Dunder Mifflin stuff would I have missed that day across calendar events, project tasks, sales channel activity, and standing meetings? And what would it have cost me on the hotel if I lost a night?"
cua_only-f004,long_horizon,multi_step_orchestration,hard,3,5,pinned,1,0,1,,0,True,"Pull up my GME position in BatBucks and give me a report of the three-month chart, with a screenshot and analysis of the chart."
cua_only-f006,long_horizon,bounded_action,hard,2,6,pinned,2,0,2,DUNDIES_THREAD_SUBJECT;ZELLE_RECIPIENTS_CONTACT_ONLY,2,True,"Go into the Dundies email thread and find Toby's HR objection paragraph. Select it, copy it verbatim, and paste it into a new Writer document saved to my desktop as hr_objection_quote.odt."
cua_only-f007,long_horizon,aggregation_reporting,hard,2,6,seed_relative,0,4,2,,0,True,"Build me a Calc spreadsheet showing my spending over the most recent complete calendar quarter broken out by month and category with a percent-change column, pulled from my bank. Throw a bar chart on there and save it to my desktop."
cua_only-f009,situated_action,bounded_action,hard,2,6,pinned,6,0,0,BUZZCHAT_GROUPS,1,True,"Go into the Party Planning Committee chat in HooliChat, scroll to a recent message you find useful, screenshot the message in context (showing it sits in the Party Planning Committee group), and drop the image on my desktop as ~/Desktop/chat_message_screenshot.png."
cua_only-f012,situated_action,bounded_action,hard,3,5,pinned,5,0,0,JAMAICA_HOTEL_NAME,1,True,"Pull up my Sandals Montego Bay booking on Cheskepdia, scroll the page so everything loads, and take a full-page screenshot to my desktop."
cua_only-f013,long_horizon,bounded_action,hard,2,7,seed_relative,0,2,5,,0,True,"Open Firefox, use my HooliShop bookmark to jump over there, and open up my most recent order. Use Print to Save as PDF and drop it into my Downloads folder as latest_order.pdf."
cua_only-f014,situated_action,personal_lookup,hard,1,5,procedural_only,0,0,2,,0,True,Go into my credit card view on Gringotts and find my 5 biggest charges of the year.
cua_only-f018,long_horizon,aggregation_reporting,hard,2,5,mixed,3,1,0,MAILDIR_TOP_SENT_RECIPIENTS;ZELLE_RECIPIENTS_CONTACT_ONLY,2,True,"Pull every reply I've written to Jan (all of them, scattered around my mailbox) and copy each one into a single Writer document on my desktop as jan_reply_history.odt so I can see the pattern of how I've been defending these expense reports."
cua_only-f022,situated_action,bounded_action,medium,2,6,mixed,5,1,1,TABLEFIND_NEXT_RESERVATION_RESTAURANT,1,True,"Go into HangryDash and build my usual Sweetgreen order, but stop at the cart preview. Do NOT submit it. Pull it up so I can confirm it's exactly right before I pull the trigger."
cua_only-f023,long_horizon,bounded_action,hard,2,7,procedural_only,0,0,3,,0,True,Draft me a new LockedIn post about 'Somehow I Manage' — two or three paragraphs about leadership. Get it fully typed into the Start a post composer so I can see what it looks like before I send it. Do NOT click Post. I want to look at it first.
