benchmark,task_id,model_name,exp_name,family,E,V,n_ann,n_succ,unan_successful,any_successful
visualwebarena,visualwebarena.resized.398,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.389,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.387,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.367,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.359,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string_url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.352,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.351,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.348,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string_url,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.331,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.398,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.387,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.367,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.359,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string_url,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.352,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.351,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.348,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string_url,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.756,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.750,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.686,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.750,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.328,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.686,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.302,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.300,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.299,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.120,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.297,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.102,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.98,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.296,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.295,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.88,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.294,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.293,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.64,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.292,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.756,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.125,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.120,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.288,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.102,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.286,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.98,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.91,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.88,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.283,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.281,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.686,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.280,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.279,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.247,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.245,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.244,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.220,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.172,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.149,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.141,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.328,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.302,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.300,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.299,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.297,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.296,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.295,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.294,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.293,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.292,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.288,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.286,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.283,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.281,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.280,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.279,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.247,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.245,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.244,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.220,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.172,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.149,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.141,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.416,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.328,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.414,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.416,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.300,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.299,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.297,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.296,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.295,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.294,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.293,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.292,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.288,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.286,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.283,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.281,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.280,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.279,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.570,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.570,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.601,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.601,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.600,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.580,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.580,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.580,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.569,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.569,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.512,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.512,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.512,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.464,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,1,1,1
visualwebarena,visualwebarena.464,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.464,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.455,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.453,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,url,DETERMINING,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.453,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.426,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,1,1,1
visualwebarena,visualwebarena.resized.426,GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.426,GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,string,DETERMINING,FAIL,1,0,0,0
webarena,webarena.790,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_webarena,string,ABSTAIN,FAIL,1,0,0,0
webarena,webarena.788,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_webarena,string,ABSTAIN,FAIL,1,0,0,0
webarena,webarena.790,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct_on_webarena,string,ABSTAIN,FAIL,1,0,0,0
webarena,webarena.789,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct_on_webarena,string,ABSTAIN,FAIL,1,0,0,0
