Paper,Year,Domain,Environment intervention,Paired runs,Tracking measured,Score sensitivity measured,Fixed rubric/judge,Type-B-like case,Similarity level,Key difference
"Turk - Counterfactual Evaluation Reveals Hidden Capability Profiles in Clinical LLMs and Agents (arXiv:2605.30590)",2026,Clinical LLM/agent decision support,Yes (5 pre-registered case-file mutation families),Yes (baseline vs intervened per case),Yes (CSS),Partial - CMS compared across models by rank correlation, not recomputed per-instance on intervened arm,Yes,Yes (model retrieves correct info but fails to update recommendation),2,"Domain is clinical case QA not CUA/GUI; CSS is the tracking measure itself rather than a metric independent of the score; CMS never recomputed on E1 and differenced per case"
"D'Oro et al. (Meta) - Computer Use at the Edge of the Statistical Precipice (arXiv:2605.08261)",2026,Computer-use agents,No,No,No,Partial (statistical-methodology critique of CI reporting),Yes,No,1,"Benchmark-design/statistics paper (memorization gaming DigiWorld CI methodology), not a paired state-intervention study"
"Xue et al. - An Illusion of Progress? / Online-Mind2Web WebJudge (arXiv:2504.01382)",2025,Web agents,No,No,No,No (documents score-vs-reality divergence generally),Partial (proposes better judge WebJudge),No,1,"Documents self-reported scores diverging from rigorous re-evaluation via hallucinated final answers, not a paired state-intervention design"
"OSWorld (Xie et al., arXiv:2404.07972)",2024,Computer-use agents,Partial (Sec 5.2 UI-clutter 'disturbance' robustness test),No (separate robustness sub-study),No,No,Yes,No,1,"Disturbance test perturbs screen clutter/window position (presentation), not a determining set of task-relevant state; own Sec 7 admits evaluators ignore side-effects"
"AppWorld (Trivedi et al., arXiv:2407.18901)",2024,Coding/tool agents,No (state-based unit tests, incl. collateral-damage checks),No,No,No,Yes,No,1,"State-based scoring with awareness that final-state != simple pass/fail (collateral-damage checks), but no deliberate paired counterfactual intervention"
"GroundEval (Flynt, arXiv:2606.22737)",2026,Stateful agent evaluation,No,No,Partial (deterministic evidence-contract checking),No,No (replaces LLM judge),No (case shows judge scores 0.85+ vs deterministic trace 0.000),1,"Deterministic replacement for LLM-as-judge via evidence contracts; no paired counterfactual environment-state design"
"Bean et al. - Measuring what Matters: Construct Validity in LLM Benchmarks (arXiv:2511.04703)",2025,LLM benchmarks (445 surveyed),No,No,No,No,No,No,1,"Observational/survey applying construct-validity theory across 445 benchmarks; no experimental intervention"
"Hsia Pruthi Singh Lipton - Goodhart's Law Applies to NLP's Explanation Benchmarks (arXiv:2308.14272)",2023,NLP explanation benchmarks,Partial (adversarial explanation construction),No,No,Yes (score inflated without behavior change),Yes,Partial (score moves while underlying prediction quantity does not),1,"Adversarial metric-gaming construction to break the metric, not a ground-truth state intervention; text-explanation metrics, not agents"
"Chen Cheung Yiu - Metamorphic Testing (arXiv:2002.12543, orig. 1998)",1998/2020,Software testing (general),No (function I/O transforms, not environment state),Yes (source/follow-up input pair),Yes (does output obey the relation - single layer),No (no second external score tested),No,No,1,"Foundational MT: the metamorphic relation IS the sole correctness oracle; no second, held-fixed external score whose sensitivity is separately tested"
"Ribeiro Wu Guestrin Singh - CheckList (ACL 2020)",2020,NLP model testing,No (input-text perturbation: paraphrase/typo/name-swap),Yes (INV/DIR pairs),Yes (single layer, INV/DIR expectation),No,No,No,0,"Input-level perturbation, not environment/world state; single-layer check, no second score-sensitivity axis"
"Kaushik Hovy Lipton - Counterfactually-Augmented Data (ICLR 2020, arXiv:1909.12434)",2020,NLP classification (sentiment etc.),No (human-edited minimal-pair text),Yes (original vs counterfactual text),Yes (does prediction flip correctly),No,No,No,0,"Text-level counterfactual editing for training/eval robustness; no environment state, no held-fixed third-party score"
"Skalse Howe Krasheninnikov Krueger - Defining and Characterizing Reward Hacking (NeurIPS 2022, arXiv:2209.13085)",2022,RL / reward design theory,No,No,No,No,No,No,1,"Agent-side: policy exploiting an imperfect proxy reward; not an evaluator-side score-blindness-to-state-change phenomenon"
"AgentRewardBench and RuVerBench class (judge-accuracy audits)",2025-2026,LLM/web-agent judges,No,No,No,No,Yes,No,1,"General judge-accuracy-vs-human-label auditing on fixed, already-recorded trajectories; no state intervention"
