item_id,task,png,isolation,notes
U2S1-0030,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0030.png,,
U2S1-0031,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0031.png,,
U2S1-0032,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0032.png,,
U2S1-0033,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0033.png,,
U2S1-0034,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0034.png,,
U2S1-0035,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0035.png,,
U2S1-0036,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0036.png,,
U2S1-0037,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0037.png,,
U2S1-0038,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0038.png,,
U2S1-0039,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0039.png,,
U2S1-0040,"Get quotes for a package weighing 10 lbs with dimensions of 2 inches in length, width, and height, being shipped from Long Beach, 90802 to Portland, 97201.",png/U2S1-0040.png,,
U2S1-0041,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0041.png,,
U2S1-0042,Find press releases by the antitrust division in 2022.,png/U2S1-0042.png,,
U2S1-0043,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0043.png,,
U2S1-0044,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0044.png,,
U2S1-0045,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0045.png,,
U2S1-0046,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0046.png,,
U2S1-0047,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0047.png,,
U2S1-0048,Search for regular weekday jobs around 14810 that I can start within two weeks or three.,png/U2S1-0048.png,,
U2S1-0049,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0049.png,,
U2S1-0050,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0050.png,,
U2S1-0051,Find the Eligibility to get the child benefit and How it works and how to claim,png/U2S1-0051.png,,
U2S1-0052,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0052.png,,
U2S1-0053,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0053.png,,
U2S1-0054,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0054.png,,
U2S1-0055,Search for NordicTrack with the lowest price.,png/U2S1-0055.png,,
U2S1-0056,Open the page with an overview of the submission of releases on Discogs.,png/U2S1-0056.png,,
U2S1-0057,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0057.png,,
U2S1-0058,Search for regular weekday jobs around 14810 that I can start within two weeks or three.,png/U2S1-0058.png,,
U2S1-0059,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0059.png,,
U2S1-0060,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0060.png,,
U2S1-0061,Look for the largest hunting land for auction in Kansas high plain region with mineral rights posted in the last seven days.,png/U2S1-0061.png,,
U2S1-0062,Open the page with an overview of the submission of releases on Discogs.,png/U2S1-0062.png,,
U2S1-0063,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0063.png,,
U2S1-0064,Submit a request for vehicle registration renewal with title number X123456 and last 4 digits of VIN is 1234.,png/U2S1-0064.png,,
U2S1-0065,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0065.png,,
U2S1-0066,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0066.png,,
U2S1-0067,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0067.png,,
U2S1-0068,Find press releases by the antitrust division in 2022.,png/U2S1-0068.png,,
U2S1-0069,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0069.png,,
U2S1-0070,Show me Diagnoses & Treatment for Female infertility.,png/U2S1-0070.png,,
U2S1-0071,Find press releases by the antitrust division in 2022.,png/U2S1-0071.png,,
U2S1-0072,Find press releases by the antitrust division in 2022.,png/U2S1-0072.png,,
U2S1-0073,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0073.png,,
U2S1-0074,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0074.png,,
U2S1-0075,Find press releases by the antitrust division in 2022.,png/U2S1-0075.png,,
U2S1-0076,"See Nissan and Honda cars for sale near Kentwood, MI 49512 on CarMax.",png/U2S1-0076.png,,
U2S1-0077,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0077.png,,
U2S1-0078,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0078.png,,
U2S1-0079,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0079.png,,
U2S1-0080,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0080.png,,
U2S1-0081,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0081.png,,
U2S1-0082,Find press releases by the antitrust division in 2022.,png/U2S1-0082.png,,
U2S1-0083,Open the page with an overview of the submission of releases on Discogs.,png/U2S1-0083.png,,
U2S1-0084,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0084.png,,
U2S1-0085,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0085.png,,
U2S1-0086,Find an energetic hairless dog with medium barking.,png/U2S1-0086.png,,
U2S1-0087,Find press releases by the antitrust division in 2022.,png/U2S1-0087.png,,
U2S1-0088,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0088.png,,
U2S1-0089,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0089.png,,
U2S1-0090,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0090.png,,
U2S1-0091,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0091.png,,
U2S1-0092,Show me Diagnoses & Treatment for Female infertility.,png/U2S1-0092.png,,
U2S1-0093,Look for the largest hunting land for auction in Kansas high plain region with mineral rights posted in the last seven days.,png/U2S1-0093.png,,
U2S1-0094,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0094.png,,
U2S1-0095,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0095.png,,
U2S1-0096,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0096.png,,
U2S1-0097,Find press releases by the antitrust division in 2022.,png/U2S1-0097.png,,
U2S1-0098,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0098.png,,
U2S1-0099,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0099.png,,
U2S1-0100,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0100.png,,
U2S1-0101,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0101.png,,
U2S1-0102,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0102.png,,
U2S1-0103,Show me Diagnoses & Treatment for Female infertility.,png/U2S1-0103.png,,
U2S1-0104,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0104.png,,
U2S1-0105,Find press releases by the antitrust division in 2022.,png/U2S1-0105.png,,
U2S1-0106,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0106.png,,
U2S1-0107,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0107.png,,
U2S1-0108,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0108.png,,
U2S1-0109,"Find a female MD Cardiologist in Jacksonville, Florida.",png/U2S1-0109.png,,
U2S1-0110,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0110.png,,
U2S1-0111,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0111.png,,
U2S1-0112,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0112.png,,
U2S1-0113,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0113.png,,
U2S1-0114,Find a 2022 Tesla Model 3 on CarMax.,png/U2S1-0114.png,,
U2S1-0115,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0115.png,,
U2S1-0116,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0116.png,,
U2S1-0117,"See Nissan and Honda cars for sale near Kentwood, MI 49512 on CarMax.",png/U2S1-0117.png,,
U2S1-0118,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0118.png,,
U2S1-0119,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0119.png,,
U2S1-0120,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0120.png,,
U2S1-0121,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0121.png,,
U2S1-0122,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0122.png,,
U2S1-0123,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0123.png,,
U2S1-0124,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0124.png,,
U2S1-0125,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0125.png,,
U2S1-0126,Look for the largest hunting land for auction in Kansas high plain region with mineral rights posted in the last seven days.,png/U2S1-0126.png,,
U2S1-0127,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0127.png,,
U2S1-0128,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0128.png,,
U2S1-0129,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0129.png,,
U2S1-0130,Browse recipes for gluten-free chocolate chip cookies that can be made without nuts.,png/U2S1-0130.png,,
U2S1-0131,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0131.png,,
U2S1-0132,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0132.png,,
U2S1-0133,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0133.png,,
U2S1-0134,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0134.png,,
U2S1-0135,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0135.png,,
U2S1-0136,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0136.png,,
U2S1-0137,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0137.png,,
U2S1-0138,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0138.png,,
U2S1-0139,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0139.png,,
U2S1-0140,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0140.png,,
U2S1-0141,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0141.png,,
U2S1-0142,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0142.png,,
U2S1-0143,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0143.png,,
U2S1-0144,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0144.png,,
U2S1-0145,Search for regular weekday jobs around 14810 that I can start within two weeks or three.,png/U2S1-0145.png,,
U2S1-0146,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0146.png,,
U2S1-0147,Check if a visa is required to work in the UK for longer than 6 months in Healthcare as an American citizen.,png/U2S1-0147.png,,
U2S1-0148,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0148.png,,
U2S1-0149,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0149.png,,
U2S1-0150,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0150.png,,
U2S1-0151,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0151.png,,
U2S1-0152,Find press releases by the antitrust division in 2022.,png/U2S1-0152.png,,
U2S1-0153,Find press releases by the antitrust division in 2022.,png/U2S1-0153.png,,
U2S1-0154,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0154.png,,
U2S1-0155,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0155.png,,
U2S1-0156,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0156.png,,
U2S1-0157,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0157.png,,
U2S1-0158,View the speakers that are bluetooth and wireless and filter the results to only show models that are on sale and cost less than $50.,png/U2S1-0158.png,,
U2S1-0159,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0159.png,,
U2S1-0160,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0160.png,,
U2S1-0161,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0161.png,,
U2S1-0162,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0162.png,,
U2S1-0163,"Get quotes for a package weighing 10 lbs with dimensions of 2 inches in length, width, and height, being shipped from Long Beach, 90802 to Portland, 97201.",png/U2S1-0163.png,,
U2S1-0164,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0164.png,,
U2S1-0165,Look for the largest hunting land for auction in Kansas high plain region with mineral rights posted in the last seven days.,png/U2S1-0165.png,,
U2S1-0166,Find press releases by the antitrust division in 2022.,png/U2S1-0166.png,,
U2S1-0167,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0167.png,,
U2S1-0168,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0168.png,,
U2S1-0169,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0169.png,,
U2S1-0170,Show me Diagnoses & Treatment for Female infertility.,png/U2S1-0170.png,,
U2S1-0171,Show me Diagnoses & Treatment for Female infertility.,png/U2S1-0171.png,,
U2S1-0172,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0172.png,,
U2S1-0173,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0173.png,,
U2S1-0174,Look for the largest hunting land for auction in Kansas high plain region with mineral rights posted in the last seven days.,png/U2S1-0174.png,,
U2S1-0175,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0175.png,,
U2S1-0176,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0176.png,,
U2S1-0177,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0177.png,,
U2S1-0178,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0178.png,,
U2S1-0179,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0179.png,,
U2S1-0180,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0180.png,,
U2S1-0181,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0181.png,,
U2S1-0182,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0182.png,,
U2S1-0183,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0183.png,,
U2S1-0184,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0184.png,,
U2S1-0185,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0185.png,,
U2S1-0186,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0186.png,,
U2S1-0187,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0187.png,,
U2S1-0188,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0188.png,,
U2S1-0189,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0189.png,,
U2S1-0190,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0190.png,,
U2S1-0191,Find a neurosurgeon who is over 50 years old and has an appointment available tomorrow.,png/U2S1-0191.png,,
U2S1-0192,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0192.png,,
U2S1-0193,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0193.png,,
U2S1-0194,Find press releases by the antitrust division in 2022.,png/U2S1-0194.png,,
U2S1-0195,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0195.png,,
U2S1-0196,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0196.png,,
U2S1-0197,Browse recipes for gluten-free chocolate chip cookies that can be made without nuts.,png/U2S1-0197.png,,
U2S1-0198,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0198.png,,
U2S1-0199,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0199.png,,
U2S1-0200,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0200.png,,
U2S1-0201,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0201.png,,
U2S1-0202,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0202.png,,
U2S1-0203,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0203.png,,
U2S1-0204,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0204.png,,
U2S1-0205,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0205.png,,
U2S1-0206,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0206.png,,
U2S1-0207,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0207.png,,
U2S1-0208,Search for regular weekday jobs around 14810 that I can start within two weeks or three.,png/U2S1-0208.png,,
U2S1-0209,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0209.png,,
U2S1-0210,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0210.png,,
U2S1-0211,Browse recipes for gluten-free chocolate chip cookies that can be made without nuts.,png/U2S1-0211.png,,
U2S1-0212,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0212.png,,
U2S1-0213,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0213.png,,
U2S1-0214,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0214.png,,
U2S1-0215,Find press releases by the antitrust division in 2022.,png/U2S1-0215.png,,
U2S1-0216,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0216.png,,
U2S1-0217,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0217.png,,
U2S1-0218,Find press releases by the antitrust division in 2022.,png/U2S1-0218.png,,
U2S1-0219,Search for regular weekday jobs around 14810 that I can start within two weeks or three.,png/U2S1-0219.png,,
U2S1-0220,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0220.png,,
U2S1-0221,Find a 2022 Tesla Model 3 on CarMax.,png/U2S1-0221.png,,
U2S1-0222,Pass the first trending chess puzzle.,png/U2S1-0222.png,,
U2S1-0223,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0223.png,,
U2S1-0224,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10.",png/U2S1-0224.png,,
U2S1-0225,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0225.png,,
U2S1-0226,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0226.png,,
U2S1-0227,Find press releases by the antitrust division in 2022.,png/U2S1-0227.png,,
