model,phase,task,condition,dir,n_steps,last_action,done,score_raw,exec_failure,result_txt
Qwen3.5-9B,phase_b,retrieval-f029,base,results/phaseb-qwen359b-retrieval-f029/base,80,"import base64, time, pyautogui
_text = base64.b64decode('Y2F0IH4vRG9jdW1lbnRzL1RheF8yMDI1L3cyX3N1bW1hcnkudHh0').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",False,0,"NOT_DONE:import base64, time, pyautogui
_text = base64.b64decode('Y2F0IH4vRG9jdW1lbnRzL1RheF8yMDI1L3cyX3N1bW1hcnkudHh0').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",1.0
Qwen3.5-9B,phase_b,retrieval-f029,cf,results/phaseb-qwen359b-retrieval-f029/cf,54,PREDICT_CRASH,False,33,NOT_DONE:PREDICT_CRASH,1.0
Qwen3.5-9B,phase_b,retrieval-f030,base,results/phaseb-qwen359b-retrieval-f030/base,80,"import base64, time, pyautogui
_text = base64.b64decode('aHR0cDovL2xvY2FsaG9zdDozMDE1').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",False,0,"NOT_DONE:import base64, time, pyautogui
_text = base64.b64decode('aHR0cDovL2xvY2FsaG9zdDozMDE1').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",1.0
Qwen3.5-9B,phase_b,retrieval-f030,cf,results/phaseb-qwen359b-retrieval-f030/cf,13,FAIL,False,0,NOT_DONE:FAIL,1.0
Qwen3.5-9B,phase_b,aggregation-f018,base,results/phaseb-qwen359b-aggregation-f018/base,65,DONE,True,0,,1.0
Qwen3.5-9B,phase_b,aggregation-f018,cf,results/phaseb-qwen359b-aggregation-f018/cf,80,"pyautogui.press(""return"")",False,0,"NOT_DONE:pyautogui.press(""return"")",1.0
Qwen3.5-9B,phase_b,preference_inference-f004,base,results/phaseb-qwen359b-preference_inference-f004/base,5,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-9B,phase_b,preference_inference-f004,cf,results/phaseb-qwen359b-preference_inference-f004/cf,3,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.8-Flash,phase_b,retrieval-f003,base,results/phaseb-qwen38flash-retrieval-f003/base,81,DONE,True,100,,1.0
Qwen3.8-Flash,phase_b,retrieval-f003,cf,results/phaseb-qwen38flash-retrieval-f003/cf,81,TOOL_CALL,False,65,NOT_DONE:TOOL_CALL,1.0
Qwen3.8-Flash,phase_b,retrieval-f016,base,results/phaseb-qwen38flash-retrieval-f016/base,12,EMPTY_XML,False,100,NOT_DONE:EMPTY_XML,1.0
Qwen3.8-Flash,phase_b,retrieval-f016,cf,results/phaseb-qwen38flash-retrieval-f016/cf,9,DONE,True,100,,1.0
Qwen3.8-Flash,phase_b,retrieval-f029,base,results/phaseb-qwen38flash-retrieval-f029/base,38,DONE,True,100,,1.0
Qwen3.8-Flash,phase_b,retrieval-f029,cf,results/phaseb-qwen38flash-retrieval-f029/cf,31,DONE,True,100,,1.0
Qwen3.8-Flash,phase_b,retrieval-f030,base,results/phaseb-qwen38flash-retrieval-f030/base,5,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL,1.0
Qwen3.8-Flash,phase_b,retrieval-f030,cf,results/phaseb-qwen38flash-retrieval-f030/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.8-Flash,phase_b,aggregation-f018,base,results/phaseb-qwen38flash-aggregation-f018/base,81,"pyautogui.click(518, 221)",False,0,"NOT_DONE:pyautogui.click(518, 221)",1.0
Qwen3.8-Flash,phase_b,aggregation-f018,cf,results/phaseb-qwen38flash-aggregation-f018/cf,80,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL,1.0
Qwen3.8-Flash,phase_b,preference_inference-f004,base,results/phaseb-qwen38flash-preference_inference-f004/base,54,FAIL,False,0,NOT_DONE:FAIL,1.0
Qwen3.8-Flash,phase_b,preference_inference-f004,cf,results/phaseb-qwen38flash-preference_inference-f004/cf,81,"pyautogui.hotkey(""ctrl"", ""a"")",False,0,"NOT_DONE:pyautogui.hotkey(""ctrl"", ""a"")",1.0
