model,tier,task,condition,dir,n_steps,last_action,failure_type,why_excluded
Qwen3.5-9B,size_ablation,retrieval-f029,cf,results/phaseb-qwen359b-retrieval-f029/cf,54,PREDICT_CRASH,SCREENSHOT_DECODE_CRASH,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.5-9B,size_ablation,retrieval-f030,base,results/phaseb-qwen359b-retrieval-f030/base,80,"import base64, time, pyautogui
_text = base64.b64decode('aHR0cDovL2xvY2FsaG9zdDozMDE1').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.5-9B,size_ablation,retrieval-f030,cf,results/phaseb-qwen359b-retrieval-f030/cf,13,FAIL,AGENT_FAIL,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.5-9B,size_ablation,aggregation-f018,cf,results/phaseb-qwen359b-aggregation-f018/cf,80,"pyautogui.press(""return"")",STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.5-9B,size_ablation,preference_inference-f004,base,results/phaseb-qwen359b-preference_inference-f004/base,5,EMPTY_XML,EMPTY_XML,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.5-9B,size_ablation,preference_inference-f004,cf,results/phaseb-qwen359b-preference_inference-f004/cf,3,EMPTY_XML,EMPTY_XML,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,retrieval-f003,cf,results/phaseb-qwen38flash-retrieval-f003/cf,81,TOOL_CALL,STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,retrieval-f016,base,results/phaseb-qwen38flash-retrieval-f016/base,12,EMPTY_XML,EMPTY_XML,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,retrieval-f030,base,results/phaseb-qwen38flash-retrieval-f030/base,5,TOOL_CALL,STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,retrieval-f030,cf,results/phaseb-qwen38flash-retrieval-f030/cf,2,EMPTY_XML,EMPTY_XML,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,aggregation-f018,base,results/phaseb-qwen38flash-aggregation-f018/base,81,"pyautogui.click(518, 221)",STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,aggregation-f018,cf,results/phaseb-qwen38flash-aggregation-f018/cf,80,TOOL_CALL,STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,preference_inference-f004,base,results/phaseb-qwen38flash-preference_inference-f004/base,54,FAIL,AGENT_FAIL,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
Qwen3.8-Flash,exploratory,preference_inference-f004,cf,results/phaseb-qwen38flash-preference_inference-f004/cf,81,"pyautogui.hotkey(""ctrl"", ""a"")",STEP_LIMIT_NO_DONE,not DONE (last traj.jsonl action != 'DONE'); result.txt/writer status/score are not substitutes
