model,task,base_done,cf_done,valid_pair,base_gold,cf_gold,gold_changed,base_final_state,cf_final_state,tracking_base,tracking_cf,tracking_pair,base_score,cf_score,score_delta,score_invariant,classification,notes
openai,counterfactual-f004,true,true,true,improv 1099 income present (tuition/calendar held),improv income/1099 zeroed; tuition/calendar held (gold_moved=True),true,"You’re both, but the ongoing thing to quit is student/enrollment:  - Student side: active Scranton Improv bill pay is $189/month. - Teaching side: the 1099-NEC is a $1,200 guest-instructor stipend from the same academy. ","You’re both, but for this decision you should treat it as quitting a class/enrollment, not leaving a regular teaching job.  - Evidence I found: you’re enrolled in Scranton Improv Academy / Improv 201 / Level 3 and have a",true,false,false,87,87,0,true,Type B candidate,
qwen35a3b,retrieval-f001,true,true,true,Gold Voyager / 38450 miles,Silver Voyager / 8620 miles (guest gold_moved=True),true,Gold; 38450,"Silver; 8,620; 8620",true,true,true,100,100,0,true,Type A,
qwen35a3b,retrieval-f003,false,false,false,TY2024 filed W-2 wages=136320,TY2024 W-2 wages=80000 (guest gold_moved=True),true,"The previous action attempted to click on the address bar but instead clicked on the HooliWork bookmark, which navigated to HooliWork (port 3005) instead of SpeedTax (port 3015). T","<think>    </think>  Action: Click the ""Try Again"" button to attempt reloading the SpeedTax page.  ",,,,65,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
qwen35a3b,retrieval-f016,true,false,false,cost_basis=8213.25 cash=420 (VTI=5),VTI shares=0 cost_basis=7114.20 cash=50 (guest gold_moved=True),true,market? 9376.08; cash~420,<think> The previous attempt to click the BatBucks bookmark failed because I clicked on the HooliChat icon in the left dock instead of the actual bookmark in the browser's bookmark,false,,,100,0,,,execution_failure,pair incomplete: base_done=True cf_done=False
qwen35a3b,retrieval-f029,false,false,false,TY2025 W-2 wages=142000 fed_wh=28400 employer=Dunder Mifflin,wages=90000 fed_wh=18000 dual-channel (guest gold_moved=True),true,"<think> The previous attempt to click the SpeedTax bookmark failed because the browser was already showing a connection error for localhost:3005, which is actually the SpeedTax por","<think> The previous attempt to open a terminal using Ctrl+Alt+T didn't work, as there's no visible change in the interface. I need an alternative approach to access SpeedTax and c",,,,0,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
qwen35a3b,retrieval-f030,false,false,false,1099=1200 Scranton Improv Academy; charitable=950,"1099 held 1200; charitable sqlite 100 (gold_moved=False) extra=[{""tax_year"":2025,""status"":""in_progress"",""field_name"":""1099_amount_0"",""field_value"":""1200""},
{""tax_year"":2025,""status"":""",true,"I've been stuck in a frustrating loop trying to execute the cat command to view the 1099s.txt file. My previous attempts to use Ctrl+U to clear the line have only added ""^U"" charac",The previous attempt to access the tax application failed because the server at localhost:3005 was unavailable. Clicking 'Try Again' would retry the same connection that just faile,,,,0,0,,,execution_failure,guest.gold_moved=False (1099 held by design); pair incomplete: base_done=False cf_done=False
qwen35a3b,aggregation-f003,true,false,false,combined filed refund=4871.70 n_filed=2,combined refund=400.00 n_filed=2 (guest gold_moved=True),true,The scroll action successfully revealed the 2023 Federal & State Return that was previously hidden below the viewport. Now I can see both filed returns clearly displayed on the pag,<think> My previous attempt to click on the Dinoco Airlines bookmark didn't work - I'm still stuck on the same Google reCAPTCHA page. The coordinates I used must have been inaccura,true,,,75,0,,,execution_failure,pair incomplete: base_done=True cf_done=False
qwen35a3b,aggregation-f018,false,false,false,charitable=950 home_office_days=104; W-2/1099 dual-channel held,charitable=0 home_office_days=0; W-2/1099 held (gold_moved=True),true,"The prompt is clean with no stray characters, and the cursor is ready for input. I need to verify the presence of w2_summary.txt and 1099s.txt in ~/Documents before reconciling the","I see the problem now - I typed ""cat ~/Documents/w2_summary.txt"" into the terminal but never executed it by pressing Enter. The command is just sitting there at the prompt, which m",,,,0,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
qwen35a3b,preference_inference-f004,false,false,false,TF top Cooper's n=12; HD top Cooper's n=88,HD rank flipped (Backyard 59 > Cooper's 57); TF held Cooper's 12 (gold_moved=True),true,"The previous Python command attempt failed - I can see only ""^M"" appeared in the terminal instead of the full command or any results. This suggests the command wasn't properly ente","The previous scroll action failed - the page shows identical content with no change. I've been trying to scroll multiple times without success, which suggests the scroll commands a",,,,0,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
qwen35a3b,preference_inference-f018,true,false,false,GME 85@42.12 AND OM YES active,GME shares=0 AND OM YES settled (gold_moved=True),true,GME 85; GME 0?; OM YES mentioned,cannot identify image file <_io.BytesIO object at 0x77cf2bda1300>,true,,,100,21,,,execution_failure,pair incomplete: base_done=True cf_done=False
qwen35a3b,counterfactual-f004,false,false,false,improv 1099 income present (tuition/calendar held),improv income/1099 zeroed; tuition/calendar held (gold_moved=True),true,Action: Wait for half a second to allow the page to fully load and become interactive before attempting to click the button again.  <tool_call> <function=computer_use> <parameter=action> wait </parameter> <parameter=time,Action: Scroll down on the page to view more content below the current transaction mix section.  ,,,,0,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
