model,task,criterion_index,criterion_text,depends_on_D,base_per_rubric_max,cf_per_rubric_max,item_delta,pair_classification,registry_score_dependency,notes
openai,retrieval-f030,1,"report 1099 amount from Scranton Improv Academy AND charitable total (0.27, value pin on payer)",likely_yes,1,1,0,score-sensitive,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f030,2,cross-check 1099s.txt payer+amount (0.27),unknown,1,1,0,score-sensitive,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f030,3,surface charitable line (0.20).,unknown,0,1,1,score-sensitive,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,aggregation-f003,0,Filed prior years only (0.25),unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,aggregation-f003,1,both federal and state (0.25),unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,aggregation-f003,2,single combined total + year count (0.30),unknown,0,0,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,aggregation-f003,3,relative-year framing (0.20). Does not name 4871.70.,rubric_does_not_name_seed,0,0,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,0,TF top from live counts (0.21),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,1,"Cooper's Seafood House as HD top (0.21, value pin)",likely_yes,1,0,-1,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,2,top-5 overlap (0.21),unknown,1,0,-1,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,3,dine vs delivery split (0.16),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,4,cite both apps (0.11),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,preference_inference-f004,5,report both top-5s (0.11).,unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,0,"Cross-source student-vs-teacher contradiction plus net savings, calendar time, mail. Judge score is expected to drop on CF if the agent correctly stops flagging a contradiction that no longer exists — that drop is not the attribution DV.",unknown,1,1,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,1,,unknown,1,1,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,2,,unknown,1,1,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,3,,unknown,1,1,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,4,,unknown,0,0,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,counterfactual-f004,5,,unknown,1,1,0,Type B,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen35a3b,retrieval-f001,0,Live Dinoco profile: tier (0.4) + miles (0.4) + report both (0.2). Does not name Gold or 38450.,rubric_does_not_name_seed,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen35a3b,retrieval-f001,1,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen35a3b,retrieval-f001,2,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f001,0,Live Dinoco profile: tier (0.4) + miles (0.4) + report both (0.2). Does not name Gold or 38450.,rubric_does_not_name_seed,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f001,1,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f001,2,,unknown,0,0,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f016,0,Cost-basis sum shares×avg_cost (0.4) + cash separately (0.3) + cost-basis framing (0.15) + reconcile rows (0.15). Does not name 8213.25 or 420.,rubric_does_not_name_seed,1,1,0,Type B,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f016,1,,rubric_does_not_name_seed,1,1,0,Type B,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f016,2,,rubric_does_not_name_seed,1,1,0,Type B,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,retrieval-f016,3,,rubric_does_not_name_seed,1,1,0,Type B,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,aggregation-f003,0,Filed prior years only (0.25),unknown,1,1,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,aggregation-f003,1,both federal and state (0.25),unknown,1,1,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,aggregation-f003,2,single combined total + year count (0.30),unknown,0,1,1,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen359b,aggregation-f003,3,relative-year framing (0.20). Does not name 4871.70.,rubric_does_not_name_seed,0,0,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f001,0,Live Dinoco profile: tier (0.4) + miles (0.4) + report both (0.2). Does not name Gold or 38450.,rubric_does_not_name_seed,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f001,1,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f001,2,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f029,0,Open SpeedTax W-2 (0.33),unknown,1,1,0,Type B,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f029,1,"report gross wages AND Dunder Mifflin as employer (0.33, value-class pin)",likely_yes,1,1,0,Type B,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,retrieval-f029,2,report federal withholding and cross-check w2_summary.txt (0.33).,unknown,1,1,0,Type B,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,aggregation-f003,0,Filed prior years only (0.25),unknown,1,1,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,aggregation-f003,1,both federal and state (0.25),unknown,1,1,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,aggregation-f003,2,single combined total + year count (0.30),unknown,1,1,0,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
qwen38flash,aggregation-f003,3,relative-year framing (0.20). Does not name 4871.70.,rubric_does_not_name_seed,0,1,1,score-sensitive,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
