model,task,phase,base_done,cf_done,valid_pair,base_gold,cf_gold,gold_changed,determining_set,tracking_items_base,tracking_items_cf,tracking_base,tracking_cf,tracking_pair,base_score,cf_score,score_delta,score_invariant,classification,base_traj,cf_traj,notes
qwen38flash,retrieval-f001,exploratory,true,true,true,gold_moved=None; Gold/38450,gold_moved=True; Silver/8620,true,"[""loyalty.status"", ""loyalty.miles""]","{""tier"": true, ""miles"": true}","{""tier"": true, ""miles"": true}",true,true,true,100,100,0,true,Type A,results/stage4-qwen38flash-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-qwen38flash-retrieval-f001/cf/retrieval-f001/traj.jsonl,source=stage4_reuse; not_primary_exploratory; guest.gold_moved=True
qwen38flash,retrieval-f003,exploratory,true,false,false,gold_moved=None; 136320,gold_moved=True; 80000,true,"[""tax_year=2024 filed W-2 wages""]","{""w2_wages_2024"": true}",{},true,,,100,65,,,execution_failure,results/phaseb-qwen38flash-retrieval-f003/base/retrieval-f003/traj.jsonl,results/phaseb-qwen38flash-retrieval-f003/cf/retrieval-f003/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=True; pair incomplete
qwen38flash,retrieval-f016,exploratory,false,true,false,gold_moved=None; 8213.25/cash420,gold_moved=True; 7114.20/cash50,true,"[""sum(shares*avg_cost)"", ""portfolio.cash""]",{},"{""cost_basis"": true, ""cash"": true}",,true,,100,100,,,execution_failure,results/phaseb-qwen38flash-retrieval-f016/base/retrieval-f016/traj.jsonl,results/phaseb-qwen38flash-retrieval-f016/cf/retrieval-f016/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=True; pair incomplete
qwen38flash,retrieval-f029,exploratory,true,true,true,gold_moved=None; 142000/28400,gold_moved=True; 90000/18000,true,"[""TY2025 W-2 wages"", ""TY2025 federal_withholding"", ""employer name"", ""w2_summary.txt wages+withholding""]","{""wages"": true, ""fed_wh"": true, ""employer"": true}","{""wages"": false, ""fed_wh"": true, ""employer"": true}",true,false,false,100,100,0,true,Type B,results/phaseb-qwen38flash-retrieval-f029/base/retrieval-f029/traj.jsonl,results/phaseb-qwen38flash-retrieval-f029/cf/retrieval-f029/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=True
qwen38flash,retrieval-f030,exploratory,false,false,false,gold_moved=None; 1099=1200 held; charitable=950,gold_moved=False; 1099=1200 held; charitable=950,true,"[""TY2025 1099 amount+payer (sqlite AND 1099s.txt)"", ""TY2025 charitable (sqlite-only)""]",{},{},,,,0,0,,,execution_failure,results/phaseb-qwen38flash-retrieval-f030/base/retrieval-f030/traj.jsonl,results/phaseb-qwen38flash-retrieval-f030/cf/retrieval-f030/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=False; pair incomplete
qwen38flash,aggregation-f003,exploratory,true,true,true,gold_moved=None; combined=4871.70,gold_moved=True; combined=400,true,"[""sum(federal_refund+state_refund) over filed tax_year < current""]","{""combined_refund"": true}","{""combined_refund"": true}",true,true,true,80,100,20,false,score-sensitive,results/stage4-qwen38flash-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-qwen38flash-aggregation-f003/cf/aggregation-f003/traj.jsonl,source=stage4_reuse; not_primary_exploratory; guest.gold_moved=True
qwen38flash,aggregation-f018,exploratory,false,false,false,gold_moved=None; char=950 HO=104,gold_moved=True; char+HO=0 sqlite,true,"[""TY2025 charitable (sqlite-only)"", ""TY2025 home_office_days (sqlite-only)"", ""TY2025 W-2 (sqlite AND w2_summary.txt)"", ""TY2025 1099 (sqlite AND 1099s.txt)""]",{},{},,,,0,0,,,execution_failure,results/phaseb-qwen38flash-aggregation-f018/base/aggregation-f018/traj.jsonl,results/phaseb-qwen38flash-aggregation-f018/cf/aggregation-f018/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=True; pair incomplete
qwen38flash,preference_inference-f004,exploratory,false,false,false,gold_moved=None; HD Cooper 88; TF Cooper 12,gold_moved=True; HD Backyard 59,true,"[""TableFind reservation counts top-5"", ""HangryDash order counts top-5""]",{},{},,,,0,0,,,execution_failure,results/phaseb-qwen38flash-preference_inference-f004/base/preference_inference-f004/traj.jsonl,results/phaseb-qwen38flash-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,source=phaseb; not_primary_exploratory; guest.gold_moved=True; pair incomplete
qwen38flash,preference_inference-f018,exploratory,false,false,false,base_unpatched_world,guest_missing,,"[""BatBucks GME shares"", ""OddsMarket WILL-GME-100-YEAREND YES active""]",{},{},,,,,,,,execution_failure,,,source=stage4_reuse; not_primary_exploratory; no_cf_guest; pair incomplete
qwen38flash,counterfactual-f004,exploratory,false,false,false,base_unpatched_world,guest_missing,,"[""Gringotts improv income transactions"", ""SpeedTax 1099 amount from same payer""]",{},{},,,,,,,,execution_failure,,,source=stage4_reuse; not_primary_exploratory; no_cf_guest; pair incomplete
