item_id,agent_file,task_id,frame_index,confirmed_task
B2-0016,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,36,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0017,operator_results.json,a48e2f1ee8d87eaeea56fe5e730427e6,46,Pass the first trending chess puzzle.
B2-0018,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,51,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0019,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,155,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0020,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,111,Find a white female kitten within 35 miles of zip 77494.
B2-0021,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,102,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0022,operator_results.json,e43cbc8a0bf9e999884928d11006f894,51,"Browse the list of things to do in Miami that have a rating of 9+ (wonderful), last between 1 to 4 hours per session, cost under $100 per person, and are available for booking between next Monday and next Friday."
B2-0023,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,15,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0024,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,168,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0025,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,311,Find Devin Booker's highest-scoring points per game playoff run.
B2-0026,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,56,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0027,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,154,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0028,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,199,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0029,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,124,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0030,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,39,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0031,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,48,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0032,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,100,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0033,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,62,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0034,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,91,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0035,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,55,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0036,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,152,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0037,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,46,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0038,claude_computer_use_3.7_results.json,11abb668c751dd56bb41f296a8bb3a13,27,Find a store near zip 30010 that provides authorized Apple services for imacs and make this one my store.
B2-0039,operator_results.json,ef289e34a2f59a707cb07e2a6229ff03,80,Compare the Acura CL 2003 with the ILX 2022.
B2-0040,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,27,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0041,operator_results.json,11857213ca01510f12813740afd59918,42,"Add the most top-selling Adidas men's basketball shoe in red, size 10 to my cart."
B2-0042,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,163,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0043,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,55,Find a white female kitten within 35 miles of zip 77494.
B2-0044,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,125,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0045,agente_results.json,c181f903ec1107b850032c17cad88393,18,Help me identify a white round pill with 123 written on it.
B2-0046,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,184,Find Devin Booker's highest-scoring points per game playoff run.
B2-0047,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,61,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0048,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,13,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0049,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,52,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0050,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,190,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0051,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,151,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0052,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,189,Find a white female kitten within 35 miles of zip 77494.
B2-0053,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,35,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0054,operator_results.json,ef289e34a2f59a707cb07e2a6229ff03,82,Compare the Acura CL 2003 with the ILX 2022.
B2-0055,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,40,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0056,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,12,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0057,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,17,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0058,claude_computer_use_3.7_results.json,627f7a18d85f29a687234f1ade4585c2,14,Find the current league leader in total blocked shots.
B2-0059,operator_results.json,f2be37a9a60fbc25b6b11cf622d17352,99,Find obedience trials in state of New York during the month of May.
B2-0060,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,38,Find a white female kitten within 35 miles of zip 77494.
B2-0061,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,71,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0062,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,72,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0063,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,79,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0064,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,199,Find Devin Booker's highest-scoring points per game playoff run.
B2-0065,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,61,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0066,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,126,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0067,operator_results.json,1223b07536a87e0170ff87cbbebd1d3c,29,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10."
B2-0068,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,48,Find Devin Booker's highest-scoring points per game playoff run.
B2-0069,agente_results.json,c181f903ec1107b850032c17cad88393,16,Help me identify a white round pill with 123 written on it.
B2-0070,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,27,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0071,browser_use_results.json,dcd26e662a616d373ddd339747c6ce5b,5,"Take a weight management quiz to find a motivating article for a non-exercising, mostly eating out and can't control portions and cravings, and who has a strong support system, enjoys traveling, loves family time and cooking."
B2-0072,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,129,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0073,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,32,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0074,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,136,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0075,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,196,Find Devin Booker's highest-scoring points per game playoff run.
B2-0076,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,107,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0077,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,91,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0078,operator_results.json,b2f4fde2fce122a93c7b578086cb0585,384,"Find the cheapest hotel + flight + car package from New York to San Francisco, departing tomorrow and returning on the fourth day from departure, for two adults and a six-year-old child. The package should be one room with free breakfast and spa access."
B2-0079,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,6,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0080,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,69,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0081,operator_results.json,e4e097222d13a2560db6f6892612dab6,38,Search for a young spayed male dog cared for by a private owner within 50 miles of zip 33109.
B2-0082,claude_computer_use_3.7_results.json,0a54069a0ef542e571d1fee7f39c93d5,14,Browse senior spayed/neutered dogs near zip code 90028.
B2-0083,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,193,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0084,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,106,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0085,operator_results.json,b2f4fde2fce122a93c7b578086cb0585,474,"Find the cheapest hotel + flight + car package from New York to San Francisco, departing tomorrow and returning on the fourth day from departure, for two adults and a six-year-old child. The package should be one room with free breakfast and spa access."
B2-0086,operator_results.json,ef289e34a2f59a707cb07e2a6229ff03,38,Compare the Acura CL 2003 with the ILX 2022.
B2-0087,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,50,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0088,operator_results.json,b2f4fde2fce122a93c7b578086cb0585,464,"Find the cheapest hotel + flight + car package from New York to San Francisco, departing tomorrow and returning on the fourth day from departure, for two adults and a six-year-old child. The package should be one room with free breakfast and spa access."
B2-0089,operator_results.json,bf3b311cc8dce16d3de844f4b5875dfd,17,Compare Apple watches and  learn more about the ultra version on apple.
B2-0090,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,33,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0091,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,95,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0092,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,24,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0093,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,191,Find a white female kitten within 35 miles of zip 77494.
B2-0094,claude_computer_use_3.7_results.json,0a54069a0ef542e571d1fee7f39c93d5,10,Browse senior spayed/neutered dogs near zip code 90028.
B2-0095,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,69,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0096,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,118,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0097,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,18,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0098,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,115,Find Devin Booker's highest-scoring points per game playoff run.
B2-0099,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,148,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0100,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,41,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0101,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,125,Find a white female kitten within 35 miles of zip 77494.
B2-0102,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,18,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0103,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,47,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0104,operator_results.json,da8f3823a827c7d3a492f383808e7912,92,Find and open the earliest press release.
B2-0105,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,111,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0106,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,116,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0107,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,25,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0108,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,95,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0109,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,97,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0110,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,244,Find Devin Booker's highest-scoring points per game playoff run.
B2-0111,agente_results.json,c181f903ec1107b850032c17cad88393,22,Help me identify a white round pill with 123 written on it.
B2-0112,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,53,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0113,operator_results.json,da8f3823a827c7d3a492f383808e7912,93,Find and open the earliest press release.
B2-0114,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,31,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0115,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,95,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0116,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,71,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0117,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,19,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0118,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,125,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0119,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,30,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0120,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,49,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0121,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,61,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0122,claude_computer_use_3.7_results.json,0a54069a0ef542e571d1fee7f39c93d5,12,Browse senior spayed/neutered dogs near zip code 90028.
B2-0123,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,84,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0124,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,45,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0125,operator_results.json,bf3b311cc8dce16d3de844f4b5875dfd,22,Compare Apple watches and  learn more about the ultra version on apple.
B2-0126,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,273,Find Devin Booker's highest-scoring points per game playoff run.
B2-0127,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,88,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0128,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,88,Find a white female kitten within 35 miles of zip 77494.
B2-0129,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,119,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0130,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,66,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0131,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,45,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0132,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,27,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0133,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,142,Find a white female kitten within 35 miles of zip 77494.
B2-0134,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,21,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0135,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,197,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0136,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,50,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0137,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,36,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0138,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,79,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0139,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,15,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0140,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,76,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0141,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,60,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0142,operator_results.json,da8f3823a827c7d3a492f383808e7912,42,Find and open the earliest press release.
B2-0143,operator_results.json,e4e097222d13a2560db6f6892612dab6,22,Search for a young spayed male dog cared for by a private owner within 50 miles of zip 33109.
B2-0144,operator_results.json,f2be37a9a60fbc25b6b11cf622d17352,95,Find obedience trials in state of New York during the month of May.
B2-0145,operator_results.json,b2f4fde2fce122a93c7b578086cb0585,328,"Find the cheapest hotel + flight + car package from New York to San Francisco, departing tomorrow and returning on the fourth day from departure, for two adults and a six-year-old child. The package should be one room with free breakfast and spa access."
B2-0146,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,120,Find a white female kitten within 35 miles of zip 77494.
B2-0147,operator_results.json,11857213ca01510f12813740afd59918,64,"Add the most top-selling Adidas men's basketball shoe in red, size 10 to my cart."
B2-0148,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,133,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0149,operator_results.json,e43cbc8a0bf9e999884928d11006f894,32,"Browse the list of things to do in Miami that have a rating of 9+ (wonderful), last between 1 to 4 hours per session, cost under $100 per person, and are available for booking between next Monday and next Friday."
B2-0150,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,32,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0151,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,107,Find a white female kitten within 35 miles of zip 77494.
B2-0152,claude_computer_use_3.7_results.json,0a54069a0ef542e571d1fee7f39c93d5,4,Browse senior spayed/neutered dogs near zip code 90028.
B2-0153,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,135,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
